refname	commit_sha
refs/archive/2026-07-15/heads/claude/d1-spec-holes-prior-art	ada412f410274a3cde403124129171f4553a4d52
refs/archive/2026-07-15/heads/claude/issue-55-d1-d3-notes	dcf60ceed8eeddba95794e4e67f6683d6760f632
refs/archive/2026-07-15/heads/claude/m2-schema-repair-status-d16c2v	cb3dac34b261c66e2a5b80ed6d3d1b2684311bb7
refs/archive/2026-07-15/heads/claude/text-model-design	630f4da460d5d2a3ee8a5235377ce46fdc148189
refs/archive/2026-07-15/heads/codex/clarify-vst-wording	7383960fabed68dc51ea99f97fd0f36456847a25
refs/archive/2026-07-15/heads/codex/concise-project-vision	c8104a7e3347457285e108e5e26fd10c4502cddd
refs/archive/2026-07-15/heads/codex/d1l-copylocal-remint-contract	f6e2c3a5271859e08e2f65912ac77d1f773f8377
refs/archive/2026-07-15/heads/codex/d1l-journal-revert-contract	430fd8be954160509ea11d5b0d08adfd3a3c7796
refs/archive/2026-07-15/heads/codex/m2-foundation-reclosure-gate	6befdcafbb4af2d572be2e8283ea5df86b09085a
refs/archive/2026-07-15/heads/codex/m2-ordering-ready	4c559913f104f491f681d2ccfce8f9c07b1fe673
refs/archive/2026-07-15/heads/codex/p5-generative-pattern-audit	f70bb2c3fa906f53c46da453af0caf5d5dbf3252
refs/archive/2026-07-15/heads/codex/pr176-merge	b096366f14a4d50557cda76a6b4659ab036d919d
refs/archive/2026-07-15/heads/codex/readme-refresh	8c4aea11056387a08be74ec62a7ac96a90df9a10
refs/archive/2026-07-15/heads/codex/visual-plugin-manifesto	2fd4dd5152663f40ff9fd198e37413cd3d0bbec6
refs/archive/2026-07-15/heads/cursor/ag-1-stream-components	55e26064867b6e853dda8441783877310d2b5c1b
refs/archive/2026-07-15/heads/cursor/ag-3-audio-commands	fdc22575c1c6933329f39141bda86064b533131b
refs/archive/2026-07-15/heads/cursor/ag-4-mixed-export	5515ccdde3885e863658e4c5817e877cc750d13c
refs/archive/2026-07-15/heads/cursor/ag-5-tracking	3d3cc289ecee4c4663c20b74ca163bf8453216c2
refs/archive/2026-07-15/heads/cursor/m2-closure	12eb3f22363af1835e90cac14f53518e63e7fe28
refs/archive/2026-07-15/heads/cursor/m2-closure-retract	8a5a3be1d1531a4500b44640fe39322bdf00c437
refs/archive/2026-07-15/heads/cursor/m2-d1c-fu-limits	83ed60d0bac776dc0a1161b5d7edf165502d794b
refs/archive/2026-07-15/heads/cursor/m2-d1c-fu-s10-hotfix	e942d809e403e606fd76ca4ce96ae63ef29aaed7
refs/archive/2026-07-15/heads/cursor/m2-d1d-journal-v2	ee1be371b5018dd14e86fd0458ffd48eb639d490
refs/archive/2026-07-15/heads/cursor/m2-d1e-migrate-v2	162f8d14c5f0114aaed4c88a1f3790d48369156b
refs/archive/2026-07-15/heads/cursor/m2-d1f-unknown-plugin	42e836b7af82032aff71a6aa5b5474f1fa12bc14
refs/archive/2026-07-15/heads/cursor/m2-d1i2-pathop	98c109254bd1284f7b2cf96354474556ee595122
refs/archive/2026-07-15/heads/cursor/m2-d1i3-semantic-goldens	d4a4251a3f3b6c272443b177773e3850281a1199
refs/archive/2026-07-15/heads/cursor/m2-d1i4-golden-ci	bed335494b5142faa7009045a3a69f9625757a31
refs/archive/2026-07-15/heads/cursor/m2-d2-commands	d2ca33ae45c5366c06e09babf92146ee7b5e4e3c
refs/archive/2026-07-15/heads/cursor/m2-d3-doc-render	48c3eac4727dbf220dc9d3f16d37de2e923c95e4
refs/archive/2026-07-15/heads/cursor/m2-d3-lookat-rotation	410935cef57b68dea1ce3b20034aef48acf29b67
refs/archive/2026-07-15/heads/cursor/m2-d4-audio	d10a11f719c16b803d4d7e0bc6790e966350c5ce
refs/archive/2026-07-15/heads/cursor/m2-d4fu-flush-trim	78f70b3813de68e9394238463083c8ba7077965b
refs/archive/2026-07-15/heads/cursor/m2-d4fu-resample	f817f9342a90932316e1701bb689a2f638a407a8
refs/archive/2026-07-15/heads/cursor/m2-d6-audio-mux	15dd5457c1197e18769ccd8af47541df5e8afcfe
