blob_sha	source_scope	disposition_document	publication
8afd46458d119497876b2f579b99d10581a011a0	M2 order gate halt historical blob	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
35aa050e525dc337d7efbefaba65499b06e6f442	keymap schema historical blob	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
a7e84aed616fff1f37fd4e94715f6cf83cd0a861	M3 entry gate v1	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
5f2bbfdac3dddf7e4cc28f53b0427a8f022ae0d7	M3 entry gate v2	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
8ede629009aea016feb4e99f92d712dd33cceb50	M3 entry gate v3	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
540ca4f9963c4fe69a2d6233263ebbd2632c33ca	M2 external revision decision historical blob	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
12ee088234546bc499949f65fce6e8dfb3f92845	M3 preview lifecycle disposition historical blob	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
32e4ed85afbb84bd6ffcb977d7704db4d67b8cf0	M3 workspace customization historical blob	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
d832f1fa7c0fd05e219a07e4ca84bd9a0874a64c	Graph View comparison v1	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
ad688be2ccfbed40209bbdd12edef7a1155d4f4c	Graph View comparison v2	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
e433c87c176d70ee4ca372aa290ef400410bc4a8	Graph View comparison final correction	2026-07-23-historical-foundation-lineage-recovery.md	codex/historical-recovery-unit2-historical-only
