blob_sha	source_scope	disposition_document	publication
b010c5f89551e69bfb37e95826b9bf0490b44a74	plugin UI initial declarative vocabulary hypothesis	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
c1bc18d07d40aefa4311b553b0ac9b142e0c5903	plugin UI criticism-review revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
efbdb47fe40e6a6a1e19aaa28a2370078a451357	plugin UI v1-boundary and prior-art revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
fca304ee101e03e9118000777e607ba28cf86bd5	plugin UI M3-conflict revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
fc46203fef91a83166f0e0b3ca4ac759c706c3fa	plugin UI reclosure-gate revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
a6e9d499ebaf7a7c897b115d778a5679140dfc2b	plugin UI shrink-adoption revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
7ebf9d1cd13eca17dbb6a173b0ecc0d76d351a76	plugin UI Browser-separation revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
b9570b20ec6be670b611c94c146c997282c30d24	plugin UI Browser plus reopening branch	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
dc6585a37f8f7e9d68ce6a186bf20718fd905396	plugin UI runtime-reconsideration revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
e000d66c144b87fa49bff0bb870171d0a4d5c956	plugin UI G0-9 reunification branch	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
da8016ecda9e38cd8ca9d77663b28e37589b38ac	plugin UI G0-3 axis-separation revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
9d70d5ae2a7c80bede2d07175c31102c8205e965	v1 NodeDesc-only plugin UI decision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
45cbc6ffd7cdf66dccb457ffb65ed7124f279963	v1 plugin UI formatting revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
5c8fbed23af2fcb85067e6fc26a9699fcdcd0f8a	v1 plugin UI G0-9 reevaluation revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
ac02c3da4d35ac680d7be1dffe88ee59bc667345	v1 plugin UI G0-3 axis-separation revision	2026-07-23-historical-plugin-ui-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-ui
