blob_sha	source_scope	disposition_document	publication
042b7f30f4b89a34be447d12a1c005a2ee52979c	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
05d01aa9fe823c6c1e0d487efc4a3b5b36533a5f	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
06411c76d114af25c1a04e06dfdb6efafb92ebad	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
0956c5197cb15a2066a5bf3f2629795909239491	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
0b07fa7c939dda5ccfe5e13751ea3571ebd39917	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
0cfd817f3cf47574a8fe7007a325be4520e634eb	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
188d0e5e690e52e958745ea0d9d0300315ba76a8	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
1b210e7182d33c5497074fdb9a9869976e27c046	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
21ac6271394331cbb431ebd8e521800220383dde	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
247fea1f1246fe0664bdb23ab1c08667b7e9bf66	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
2de533613c48cc1a10af08234f6db5134d2177b6	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
356a85bad3379be1d71e81d1afd1ef03ebab7570	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
3c3094b0411c440f4b5c1950f0fc10926db375eb	plugin authoring historical lineage	2026-07-23-historical-plugin-authoring-lineage-recovery.md	codex/historical-recovery-unit3b-plugin-authoring
