blob_sha	source_scope	disposition_document	publication
004a65a517df8895aab5dddb201e28cfee0dfaee	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
017758ab1cb7c977e0643e165e3ab3263dfd97ce	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
017bfd9c317d39c025f434944061072d01c9fb69	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
0315cbf467731b08de736ed15e564cc5da2e3cef	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
06c966ba64e3495e01283bbc2c5b0fba0b6c8866	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
07f355c1bfd93b677e7508d76c7c2e6a1b63da33	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
124679b4e131fd502adda1354d0ddc9976d5ae3b	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
12a03488724f82b93e2b553bc24239b4df17406c	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
1a2769120d2e78216c166ca5997b4b0c76b775cf	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
58c0d6a0b4e7292f735ea04f9a07bd4d3b947451	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
5b61b83ec941aa41bcb9206600b4ac1f6d49b61e	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
61fcbed8a02aa4e9f23ba7dd17bc320b6e697745	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
6c8af9adedda2c6ae18c1a325579b0f1b32e3848	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
7a6934c3ab0a29b211af4dbf17d5d7e48ad622df	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
7ef337893429217041e7c9c9786857bc59ac8532	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
8ff0cdd159bef49c07455ce56b0055ba963a5ce0	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
9a0c171cc0be47646943d8fa8eb9ad5fa6b9e939	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
a6e814289358f36a46babf299aa54c7bc0384a93	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
a9e1c9518e4127e6b156652c03bc53d87b7c8a1f	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
ae624a7891b3bad355ee3942e89d4770864296a4	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
c5854c9a7240adb667c60f9f2306bc30e930e591	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
c712cfa80727b1c0b9f4b8ef1d579f969008c742	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
ced1feabff94b82c6b347839ba03312648da95f0	M1 FrameDesc and plugin-facing shared types lineage	2026-07-23-historical-frame-desc-shared-types-lineage-recovery.md	codex/historical-recovery-unit3c-framedesc
