blob_sha	source_scope	disposition_document	publication
18874d39a98a8db29e9818516007642f48c7fd33	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
2165f59092ba2760a1081aad7a07e905d1e5cb18	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
3f5210cf79b679e304fd5ef9cb1aa405174909ce	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
4260ac78a5c20a0d85ef10c5dab780c076afd760	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
678dc95dc99f21db56018d6056cb3d0a5798bdd3	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
7c208922754533d974b09cce48efa6b8379ea794	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
86129768e035c44cae5d6e8390d8569abe266604	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
8754786fc2fed03fddb370c2952b33365d9f582e	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
90cf1ccee2be1862a4c1788948fdc09d9b3e0507	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
c12a06ad5c2814b704fd6659ea207e9f6346eb22	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
c8109b90a7c57b9c2b45ff390d687719bd3d83e6	public capability and provenance lineage	2026-07-23-historical-public-capability-provenance-lineage-recovery.md	codex/historical-recovery-unit3b-runtime-b2a
