blob_sha	source_scope	disposition_document	publication
1a8291c6cab4fdfafc7414cf72e4d47580be5c6b	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
49fccb1713dede755c7aac6afb2f1c4b34d1e60b	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
67bc8c708bb8e20fe8b7a5a720cb769a03bdf171	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
7757d71c942ea477e5168a51a833d040a59d4196	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
7ca71b4d9d5acfcbb65b0cfbfca502948a92baf6	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
82abe672a996b38f7882b8c98c5c142d9249408d	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
8b44fc6f6969490288d4dca6e09677c532174564	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
b075d69bd9d3a9cc00297bb907eb9cc9a53ef304	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
b6899531dd13f534cd52cce7d261074b2cf9ce64	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
c046807e65cc02b634a071fbc96eae47656be58b	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
e5b3b9e7809d5cbf45b011b1c8a0fe08f61e9a37	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
f7e85ab820e3235ba775d23257611dc71184439d	D1 spec holes prior-art lineage	2026-07-23-historical-d1-spec-holes-lineage-recovery.md	codex/historical-recovery-unit4c-d1-spec-holes
