blob_sha	source_scope	disposition_document	publication
04f778a64d7292a7c21767abd9f70ddc348f57e2	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
05f5713f809d283c1aa3948f1bb8f28987b02333	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
066de96491743f9c3baea2c5a4954c02276787aa	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
126067c4b87f5f484772060dc6f3bdbc335d945d	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
13f0f896df86d01d3b2723da4ee19c92d6d5e213	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
1fc3d91c4526a51446cb30dbca22f946b61eeb62	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
24dd4dab6408f7e42961bcab8b95d3d88aad7bee	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
2748a3dd3f9501673b4efb7f58281db1a6013de8	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
2efa8b12a08c34ba374707678a8ac7007a3dacdb	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
3022757b4d6107299887d0d05a18b7355813926e	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
30bb95722392be8ab09ea397e0e0e40b810af0a9	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
3806fe03037e01b4afb22199f1fc4f52c833b4f6	M2 entry gate lineage	2026-07-23-historical-m2-entry-gate-lineage-recovery.md	codex/historical-recovery-unit4f-m2-entry-gate
