blob_sha	source_scope	disposition_document	publication
287dea90dab9cdb076d66f2ae30beb3a2252b6b5	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
3251d99a5857dd7c499eadf8c805667ee2e1d204	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
3567c2386da022f77cc2f01153f47adaccb0978c	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
3728feca59e34b549c7306df161c6a7d188693c8	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
3b2b1b58e30281aa9223bc5c441517fe020cdfbe	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
3e82ab50837dc6859416d6a87ec9ebb691a909ea	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
417017c0597b4ad7a34ab76def1b996607ac0799	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
52f71b678e411329d61daed8a36194b63997d4ae	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
5861a0b46a629eef0f81447a76dd4f09ce66f8f6	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
7136787fc88f6e55f838dd107a331130cb9276db	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
7614ac810c3ac6deffe3304cda600fe4336e0f59	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
c3ae81e9c3c02912ad1ba11d4c2dbb5cfea1f25a	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
f7587427fe0795b28685921a0c3bb882e2563305	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
fe522414a47bac43448380e5bf2088d78e75a916	M2 foundation reclosure gate lineage	2026-07-23-historical-m2-reclosure-gate-lineage-recovery.md	codex/historical-recovery-unit4g-m2-reclosure-gate
