blob_sha	source_scope	disposition_document	publication
1481255890d11c56c8493fc3b88e7a82ab2c02c6	performance model lineage version 01	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
1b67ab2158673d0a51c236adc8c2c43385433663	performance model lineage version 02	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
2f7c9b2f682219c777e5b36053b6a59773daad97	performance model lineage version 03	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
3e5876f5def4bc7e1c062ef42696ae5a66651bd9	performance model lineage version 04	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
46308457df352411b496548dd4dcb3f9cd9f989e	performance model lineage version 05	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
46cc721f8dd89caab31d83c4cf6349a36588be03	performance model lineage version 06	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
48f11bbee55fa0dcd98f59e518d51a7a23d9ded5	performance model lineage version 07	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
4eebc4b9b139f06336a71e396dd36bb9dbc833f9	performance model current cutoff version	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
6ca5cb3bde6daec694555751ca1ed4c917705f36	performance model lineage version 09	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
77986155e13a8de9572b9efcd30ecd91f792db71	performance model StateTrack branch	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
7b351e72d192a53c4c171213aa7e022364b6bc62	performance model simulation rejection branch C	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
89426786ad7bda60e2590780d7c9b0510e917d4b	performance model pressure separation version A	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
902e723e4e044c5ff8e0450e2e334246ba60cf63	performance model liveness aware target pool version	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
a10e5206dd32f275eaa19d11f8901a1823786fef	performance model color policy early version	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
bb9a0d6ad524056320b17e1132b2806246ee8c3e	performance model FrameDesc authority version	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
cab06d45e7c360a2a354935406113c8bb5468796	performance model simulation rejection branch A	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
cb58238a22c9fbcfb25852cea5a875819ba9b411	performance model lineage version 17	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
db306dc028bc72007cee354e73f28a47c6ee9f3c	performance model initial version	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
e74b51c82fb414401aa85dd999ffc1222f9ba789	performance model lineage version 19	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
e98eb38e0d5a32aee65b969d14eb55e47858126e	performance model pressure separation version B	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
f0827d4cd29a28815e768ff24bb5796894dcfe39	performance model lineage version 21	2026-07-23-historical-performance-model-lineage-recovery.md	codex/historical-recovery-unit5k-performance-model
