blob_sha	source_scope	disposition_document	publication
0b1af331c0e3527ecb580f88c7fd079df4dc1bb9	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
19496b95c3380fd42f6ca3f438e4d2ac1c1dfba7	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
216fb209f7ee0b5b7d9b8a94470741c2578a694e	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
288a685e5bb3ad5ff7ca4858151e14d884554d50	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
2ba25a475b44c84684e52e7124d0e80cd8e808dc	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
2da0378de20be05ed1467bd968e36ebff501bf47	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
30809b2702c7ac3e5f8339c881eda69eb6c60242	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
35e54f7dec1e02bf100f0aa8597fc80311c8c8ea	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
3fb52fe2c308b4c21232e5c39d2b9fec7edd0b13	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
44391a7143990ac2dd0d02846c5badd044b6faa0	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
4bd01a3c99267a0ba1f6c0fa2b843124b1235c02	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
4d7ec570969cd8e66e73339b261547cd1a0659f8	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
4fd68fe8199d9612c50eae208a16dc828185c3c6	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
64b9c481fb30d4c487a0362ed451e34363a4bb3e	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
6af0fdd911b9569aa1bccaf5b2031cb1922a01cc	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
71328e958ca488b73d02974c80ec5569e3b5e8bd	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
72ec86d1aabe72fe81dcd9eb17d40fecf227e0bb	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
7ff52f9f3945a98596479cd41943208ba609f0f0	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
8a12dd75d9b1d683f384be5fb7797689c733d69a	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
980516d34ecc264e5f042bbaf737f73bc3bef677	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
d149b46a101e796d40e58b2f3347908693a9077c	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
e76d8389833a4d5e01108cbf7e15ad063bce7fb1	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
176bc5cb29bb4c2bbc485da57cb1db37beca80d2	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
68d7a9a5f44872ff2a29cfd195898d38901f40f9	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
e7fb5f500f1b77c12d32a48dce7d480698e39a6e	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
49440c086f8102a8b4b3331e0a143445ea26b2d5	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
bcc7c414dd83295291ee889babb648e7ea5ecf82	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
d233931d4e09bf90ba9e1298069de3ffa9b5353a	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
dbf78007b510920774adda1691ed6e90d36a918d	Vism Kit distribution lineage	2026-07-23-historical-vism-kit-distribution-lineage-recovery.md	codex/historical-recovery-unit9a-vism-kit
