blob_sha	source_scope	disposition_document	publication
4bddc12935efe8390f25d3faab8c50aa796ba8ec	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
52754f17b1fd30631bd37169efc53b5487154121	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
68a5b59feaad1e64547e2884637fe0e8b0fa8881	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
7e7b1b42dbec28d84e951cfca48044599156fb34	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
b412e4c060e4800470443d479c8fcf9d21b0742c	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
c25a987f337e90feda24694b9f955ec7af00be85	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
c54abc884f24e0efe2b1204fe369d0f0d9a71575	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
ce8bc9b2283cc3f502ecf915aa57b361e4127fa5	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
f0d335fa3a5bb0b81ed909a99c874828b4fa31a8	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
f406f24d4664c3ea66859f57fcf1f828b2e15ca0	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
f7c85ade64b8b1f456df78a64b98a49fd3481124	plugin ecosystem lineage	2026-07-23-historical-plugin-ecosystem-lineage-recovery.md	codex/historical-recovery-unit9b-ecosystem
