blob_sha	source_scope	disposition_document	publication
06797efb571e95b8b1b778689a86c3eac9f8f0ef	Vism A0S contract catalog lineage	2026-07-23-historical-vism-foundation-contract-lineage-recovery.md	codex/historical-recovery-unit9c-vism-foundation
1b57f3cc1125a2b96966ee4f916d8cc9de2e0432	Vism A0S contract catalog lineage	2026-07-23-historical-vism-foundation-contract-lineage-recovery.md	codex/historical-recovery-unit9c-vism-foundation
25217a26953a4273fe2c35aed585ae0149070033	Vism A2 legacy adapter lineage	2026-07-23-historical-vism-foundation-contract-lineage-recovery.md	codex/historical-recovery-unit9c-vism-foundation
4a3fb5b092c167eb6f672ff54ebdb6253d500c89	Vism A0S contract catalog lineage	2026-07-23-historical-vism-foundation-contract-lineage-recovery.md	codex/historical-recovery-unit9c-vism-foundation
8dc5aaeced86303ea6c2b9d0d0fbf77272f39a2d	Vism A0S contract catalog lineage	2026-07-23-historical-vism-foundation-contract-lineage-recovery.md	codex/historical-recovery-unit9c-vism-foundation
a207674ae7be6b6aabc3e8d6ad71d5b391b75ac6	Vism A0S contract catalog lineage	2026-07-23-historical-vism-foundation-contract-lineage-recovery.md	codex/historical-recovery-unit9c-vism-foundation
c94d9b16d37937373195ada392e678539594db0e	Vism A0D ownership lineage	2026-07-23-historical-vism-foundation-contract-lineage-recovery.md	codex/historical-recovery-unit9c-vism-foundation
d6a214f797e8d0a14c96edb9bb2bddf9df5fa6dd	Vism-ready counter-review lineage	2026-07-23-historical-vism-foundation-contract-lineage-recovery.md	codex/historical-recovery-unit9c-vism-foundation
f644a908990565ffa1557c2a12b05bda5d15ad49	Vism A7 BPM DataTrack lineage	2026-07-23-historical-vism-foundation-contract-lineage-recovery.md	codex/historical-recovery-unit9c-vism-foundation
fedea05a0c9bcd4c765f98df8d26d85b01596725	Vism A0D ownership lineage	2026-07-23-historical-vism-foundation-contract-lineage-recovery.md	codex/historical-recovery-unit9c-vism-foundation
