blob_sha	source_scope	disposition_document	publication
0c8b1d6bbb113f8012aaf02fe3c2c8aebf8672e7	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
0d746a320a9109b38ce5e8874d3325509860d2c3	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
167d8f1dda0e306f9417a998e0538b009862e54f	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
2340c8f774af94db8b6226a2d600ca68011c2f3d	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
24281dac563d537954ef3bead936b03421e95571	Vism A3 Radial Repeater decision lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
4024ee2688b62850924abe9aa6770f0ba326ca3b	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
409075949169702039a5fe698d8a7e32afa10fdd	Vism A3 Radial Repeater decision lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
46cbbdffd147eddb8ae48a214973f05ca9a71b28	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
79679f0dd74a1fa5fe02e1a8fade14874f836bf1	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
7fd415b1f8ba3abe26bb70f324c284a523517d87	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
987a63710566bcabfc019b43b3fdc2ca707127a6	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
acc9516453ffc794c90c91508798414a4dc4b586	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
adcd7165a65237a2621bee56f883302a40601a28	Vism A3 external expression survey lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
b4f491c9d5d8a423db9dc78ef34cbeb03e4a2e0f	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
ede4db47dd24b2613a1f4fd6233f9a19ee84b162	Vism A3 external expression survey lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
fd40b59d51bd9b2d40a37727bf4344d970c0cb78	Vism A3 LayerSource lowering lineage	2026-07-23-historical-vism-a3-expression-layersource-lineage-recovery.md	codex/historical-recovery-unit9d-a3
