blob_sha	path	read_scope	publication
1782dfb60fad7522fbebbecc1b0edf8a60d42d08	docs/README.md	T01-T20 current-side read	PR-269
caefb8c898b3f8a63d432e07ab739f282b92fd43	docs/ae-pain-points.md	T01-T20 current-side read	PR-269
0d14daec6c0c3e23330a65ff91e56e7c74bcb6c6	docs/backlog.md	T01-T20 current-side read	PR-269
fa65a40d1127479b38e01d7956e4e8f1b6aa659b	docs/concept.md	T01-T20 current-side read	PR-269
ec3150581eeeeebc336b682636115e947633e0eb	docs/decision-index.md	T01-T20 current-side read	PR-269
5b067b94a04c3a5eb2b56e950faf0b992a9b13c1	docs/dev-experience.md	T01-T20 current-side read	PR-269
51390cccfd8ce02942f5385b7ea4809e7de18ca4	docs/extensible-core-model.md	T01-T20 current-side read	PR-269
8bcf92c1c65ef0484da85d2f2df386dfbcb29bb7	docs/generative-user-boundary.md	T01-T20 current-side read	PR-269
3c88dc244a57017be9889ed6e21f72d9f83ce1d0	docs/implementation-ledger.md	T01-T20 current-side read	PR-269
af776341a52940fe26571e2623674e9b190d7e01	docs/interaction-simplicity-model.md	T01-T20 current-side read	PR-269
4aae4e5156d72efc0d70ea90e069acb597e184dc	docs/memory-model.md	T01-T20 current-side read	PR-269
5f2cb4efd6d5ebd1a8b31513cd94e08a3adebb05	docs/mocks/README.md	T01-T20 current-side read	PR-269
4eebc4b9b139f06336a71e396dd36bb9dbc833f9	docs/performance-model.md	T01-T20 current-side read	PR-269
6f1259355a4fbe6d2bcd542db03ed5c7ed9cf561	docs/pitfalls-and-roadmap.md	T01-T20 current-side read	PR-269
d497c98f5634f70aca0080815600ef712591c0dd	docs/plugin-authoring.md	T01-T20 current-side read	PR-269
fc095c6239f7ccb4b88e9eba38206c9ee4100be9	docs/plugin-resources.md	T01-T20 current-side read	PR-269
da8016ecda9e38cd8ca9d77663b28e37589b38ac	docs/plugin-ui-model.md	T01-T20 current-side read	PR-269
29e3549494773760cd3e9d0ac4eea47344da51fc	docs/references.md	T01-T20 current-side read	PR-269
9f938cc4df579a671c441e9b5d29bae29a10b72a	docs/simulation-model.md	T01-T20 current-side read	PR-269
eddcc8ea122aceecdff7a1f67aa90cfabcf27cad	docs/specs/M0-spikes.md	T01-T20 current-side read	PR-269
a6e814289358f36a46babf299aa54c7bc0384a93	docs/specs/M1-vertical-slice.md	T01-T20 current-side read	PR-269
5c62d59631ec60b00e022da1e19e851d755e147a	docs/specs/M2-document-model.md	T01-T20 current-side read	PR-269
0419aa8b67fc1953577824124ade01b47d2c27b6	docs/specs/M3-ui-integration.md	T01-T20 current-side read	PR-269
b8ecc767578e43b300a3802f51c4fcbc27fca6e1	docs/specs/M4-cache-and-analysis.md	T01-T20 current-side read	PR-269
c0344e67cfbf4f5e83c7e430d696328f50afd645	docs/specs/M5-3d-and-post.md	T01-T20 current-side read	PR-269
3a26737b71108f804818cd56ae36f7d4476d59a5	docs/specs/README.md	T01-T20 current-side read	PR-269
f9e0e4f1585318d8a11a0f5ae515591fccea89dc	docs/text-model.md	T01-T20 current-side read	PR-269
c866fd8cad3ab7128be249fe0f75e01ebe517470	docs/ui-concept.md	T01-T20 current-side read	PR-269
450182e3fbc3c02e63b94d2b110b50496106181d	docs/ui-interaction-language.md	T01-T20 current-side read	PR-269
ef251338fa2d831c7adca8bcc0e329bd5d5c994d	docs/ui-reference-map.md	T01-T20 current-side read	PR-269
4f2dd0fda21106b871e2ff5b98b278fbb475668e	docs/ui-runtime-architecture.md	T01-T20 current-side read	PR-269
7b4a9219a8469a5de42cc0c26474a89d3f370fdf	docs/ui-score-model.md	T01-T20 current-side read	PR-269
b976eb85e16131d08b762a6837b0acd4a1009c76	docs/ui-visual-language.md	T01-T20 current-side read	PR-269
176bc5cb29bb4c2bbc485da57cb1db37beca80d2	docs/vism-kit-model.md	T01-T20 current-side read	PR-269
49440c086f8102a8b4b3331e0a143445ea26b2d5	docs/vism-package-concept.md	T01-T20 current-side read	PR-269
