#axis: A02 手(マウス完遂の再判定)
#question: 各意図はマウスだけで完遂できるか(裁定217。キーボード到達性=Tabは穴に数えない)
#verdicts: マウスで完遂できる|穴:マウスで完遂できない|穴:とんちで満たしている|穴:ポインタ入力を受け取れない|対象外(文字入力)|未確認
#boundary: 裁定217 の3条件。(1) 連続性のあるデータ(数値・位置・尺・角度・色・時刻)はdragで完遂できなければ穴。数値入力は文字入力ではなく広義の増減。(2) 文字入力(任意文字列=名前・歌詞・path)は対象外。(3) とんち禁止=モーダル新設/専用ダイアログ/そのソフトにしか無い入力部品での「字面だけの到達」は穴のまま
#sweep: cat next/reference/GESTURES.md (§1 主要ジェスチャ34行の判定転記元、2026-08-23)
#sweep: grep -n "start_field_drag\|continue_field_drag\|finish_field_drag" next/ui/motolii-inspector-pane/src/*.rs (drag機構の生存範囲=transform.rsのみ、他へのimportで再利用箇所を特定)
#sweep: grep -n "transform_row" next/ui/motolii-inspector-pane/src/*.rs (drag機構を継承しているsection= mask.rs/audio.rs/effects.rs)
#sweep: grep -n "text_input(\"\", " next/ui/motolii-inspector-pane/src/*.rs next/ui/motolii-settings-pane/src/*.rs (drag機構を継承していない=text_inputのみのnumeric欄を洗い出し)
#sweep: grep -n "hex\|Hex\|color_picker\|ColorPicker" next/ui/motolii-inspector-pane/src/*.rs (色専用ダイアログ/hex文字列強制の有無、0件)
#sweep: grep -rn "Pinch\|Magnify\|TouchpadMagnify" ~/.cargo/git/checkouts/iced-1bbb4ed9d90ae4f8/73e686e/core/src (AX-5既知の再確認、0件。core/src/event.rsはEvent::Touch(touch::Event)のみ)
#sweep: grep -rn "Button::Middle\|Button::Right\|on_double_click\|WheelScrolled" next/ui next/shell (ホイール/中ボタン/右ボタン/ダブルクリックの他の使用箇所を洗い出し)
#sweep: grep -rln "modal\|Modal\|Dialog\|virtual_keyboard\|VirtualKeyboard" next/ui next/shell (とんち=専用ダイアログ/仮想キーボードの有無、file_dialogs以外0件)
#sweep: grep -n "DeleteSelectedKeys\|CutLayer" next/shell/motolii-shell/src/lib.rs next/ui/motolii-keymap/src/verb.rs (削除系のマウス入口の有無)
#sweep: grep -rn "Marquee\|marquee" next/ui/motolii-timeline-pane/src (Timeline側矩形選択の実装有無、0件)
#sweep: grep -n "Delete\|Remove\|Clear" next/shell/motolii-shell/src/menu.rs (メニュー項目としての削除動詞の有無、0件)
axis	map_id	対象	判定	証拠	穴	責任
A02	-	Inspector 数値ドラッグ(Position/Scale/Rotation/Opacity/Anchor、transform.rs)	マウスで完遂できる	`start_field_drag`/`continue_field_drag`/`finish_field_drag`(press→drag→release)。GESTURES.md旧判定「マウスのみ」だがマウス列は○=旧基準の対象外項目であって新基準の穴ではない	-	-
A02	-	Inspector click→type 編集(数値欄、transform.rs)	マウスで完遂できる	click→type→Enterで完結。数値のprimary経路は上記drag、この行はその代替入口(文字入力自体は広義の増減の一形態として許容)	-	-
A02	-	ラベル色チップ 巡回(`chrome.rs::label_color_chip`)	マウスで完遂できる	固定パレット(`LABEL_PALETTE_LEN`)を巡回するclickボタン。enumはBL2巡回文法でdrag不要、色そのものの連続値ではなくindex	-	-
A02	-	Inspector M(Hidden)トグル(`chrome.rs::mute_glyph`)	マウスで完遂できる	click(bool巡回)	-	-
A02	-	Timeline rail M/S/L トグル(`rail.rs`)	マウスで完遂できる	click(bool巡回)	-	-
A02	-	Timeline 行選択(`rail.rs`、button.on_press)	マウスで完遂できる	通常click/Cmd(Ctrl) toggle/Shift range。`rail.rs` が `pane.modifiers` と表示順を `Message::SelectLayer` へ渡し、pane側で選択集合へ確定する	-	-
A02	-	Timeline clip move(`clip_gesture.rs::moved_start`)	マウスで完遂できる	press→drag→release、スナップ有(SNAP_PX=7px)	-	-
A02	-	Timeline clip trim(`clip_gesture.rs::trimmed_in_start/trimmed_out_end`)	マウスで完遂できる	press→drag→release(TRIM_EDGE=8px)	-	-
A02	-	Playhead scrub(`ruler.rs`/`input.rs`、ScrubTo)	マウスで完遂できる	press→drag→release、スナップ無し(生ピクセル)	-	-
A02	-	JumpMeaningPointPrev/Next相当の手動スクラブ(playheadをkey/marker時刻へ合わせる)	マウスで完遂できる	理論上drag→exact時刻は達成可能(GESTURES自身「精度は別問題」と明記)。連続値=playhead位置自体はdragで動く、厳密一致精度の欠如は別の品質論点(迷った判断参照)	-	-
A02	-	Timeline 矩形選択(marquee)	穴:マウスで完遂できない	Timeline に marquee 実装が無い(`grep -rn "Marquee\|marquee" next/ui/motolii-timeline-pane/src` 空振り)。意図の入口自体が存在せず、mouseでもkeyboardでも完遂できない	穴	next/ui/motolii-timeline-pane/src/rail.rs:1(現状複数選択の唯一入口=Cmd/Shiftクリック個別選択のみ)
