#axis: A03 時間
#question: その値は時間軸に乗るか(Inspector 以外の全 pane へ拡張。裁定214/213 の境界を適用)
#verdicts: 乗っている|乗っていない|乗るべきでない
#boundary: 裁定214(2026-08-23 修正版)「出力に現れるか」— 最終フレームの画素/尺/合成に影響するなら property(乗る/乗るべき)、影響しないなら identity・viewer・session(乗るべきでない)。加算(裁定213)可否は別問題
#sweep: cat docs/reviews/2026-08-23-inspector-time-axis-audit.md (Inspector 分の転記元)
#sweep: grep -n "pub struct LayerAttrs" -A 20 next/core/motolii-store/src/attrs.rs
#sweep: grep -n "pub struct Composition" -A 15 next/core/motolii-store/src/lib.rs
#sweep: grep -n "pub struct LayerTiming" -A 12 next/core/motolii-store/src/lib.rs
#sweep: grep -n "pub struct Marker" -A 10 next/core/motolii-store/src/marker.rs
#sweep: grep -n "pub struct AssetListItem" -A 15 next/ui/motolii-browser-pane/src/model.rs
#sweep: grep -n "pub struct EffectInstance\|enabled" next/core/motolii-store/src/effect.rs
#sweep: grep -n "enabled\|EffectEnabled\|KeyRow::EffectEnabled" next/ui/motolii-inspector-pane/src/effects.rs
#sweep: grep -n "ViewTab\|ResolutionCap\|ChannelDisplay\|Checkerboard\|ObservationCamera" next/ui/motolii-stage-pane/src/viewer_bar.rs next/ui/motolii-stage-pane/src/zoom.rs
#sweep: grep -n "work_area\|loop_enabled" next/ui/motolii-timeline-pane/src/write.rs next/ui/motolii-timeline-pane/src/lib.rs
#sweep: grep -n "CompField::\|composition.width\|composition.height\|composition.fps\|duration_frames" next/ui/motolii-settings-pane/src/sections.rs
#sweep: grep -n "AutoSaveConfig\|AutoSaveField" next/ui/motolii-settings-pane/src/sections.rs
#sweep: grep -n "solo\|locked" next/core/motolii-store/src/attrs.rs
#sweep: grep -inP "\tSolo\b|\tLock\b|Composition Settings|Auto.?Save|Zoom In|Zoom Out|colorized red" next/reference/normal-map.tsv
axis	map_id	対象	判定	証拠	穴	責任
A03	-	Position X/Y(TRANSFORM)	乗っている	`property::POSITION`(Vec2)、Key列あり(Inspector監査 転記)	-	-
A03	-	Position Z(TRANSFORM)	乗っている	`property::POSITION_Z` 実在・値は動くがKey列が`KeyRow::Position`に含まれず初回キーの入口が無い(Inspector監査 FINDING1、境界問題ではなく wiring 漏れ)	-	next/ui/motolii-inspector-pane/src/transform.rs:98 ※過積載(1021行)
A03	-	Scale X/Y(TRANSFORM)	乗っている	`property::SCALE`(Vec2)、Key列あり	-	-
A03	-	Rotation(TRANSFORM)	乗っている	`property::ROTATION`	-	-
A03	-	Opacity(APPEARANCE)	乗っている	`property::OPACITY`	-	-
A03	-	Anchor X/Y(TRANSFORM)	乗っている	`property::ANCHOR`	-	-
A03	-	Name(ident帯)	乗るべきでない	識別子。出力(画素)に現れない(裁定214 が名指し)	-	-
A03	-	Hidden(M glyph、Inspector chrome.rs)	乗っていない	`LayerAttrs.hidden: bool`(`next/core/motolii-store/src/attrs.rs` 冒頭 doc「非アニメーション属性」、2026-08-23時点でも未移行)。出力に現れる(resolve が hidden な layer を落とす)のに track が無い。`Intent::SetAttrs` 経由	穴	next/ui/motolii-inspector-pane/src/transform.rs:98(PropertyId を作る唯一の場所、ここに `Hidden` の枝が無い) ※過積載(1021行)
A03	-	Label Color(色チップ、ident帯)	乗るべきでない	`LayerAttrs.label_color: Option<u8>`。裁定214 修正版が名指し「timelineの整理用タグで出力に一切現れない」	-	-
A03	-	Blend(ATTRS)	乗っていない	`LayerAttrs.blend_mode: BlendMode`(`next/core/motolii-store/src/attrs.rs:19-46`)。合成に直接効く(出力に現れる)のに `Intent::SetAttrs`巡回ボタンのみ、track 無し	穴	next/ui/motolii-inspector-pane/src/attrs.rs:80(SUPPORTED_BLEND_MODES 定義箇所)
A03	-	Speed(ATTRS)	乗っていない	`LayerTiming.speed: Speed`(`next/core/motolii-store/src/lib.rs:309-312`)。素材の進み方に直結、出力へ現れる。`Intent::SetTiming` read-modify-write のみ、track 無し(裁定63 が「穴を空けてあった」と明記)	穴	next/core/motolii-store/src/lib.rs:309
A03	-	Matte 元(source layer、ATTRS matte行)	乗っていない	`Matte.layer: LayerId`(`next/core/motolii-store/src/attrs.rs:63-65`)。裁定214 修正版「参照先が変われば画素が変わる=property、LayerId は Hold でキーフレーム自体は打てる、実装は後回し」と明記。まだ `Intent::SetAttrs` 経由の静止フィールド	穴	next/ui/motolii-inspector-pane/src/matte.rs
A03	-	Matte mode(ATTRS matte行)	乗っていない	`Matte.mode: MatteMode`(`attrs.rs:66`、enum)。合成に直接効く。`Intent::SetAttrs`巡回ボタンのみ	穴	next/ui/motolii-inspector-pane/src/matte.rs
A03	-	Mask id(ラベル表示)	乗るべきでない	`MaskId`。どの mask かの識別子、`LayerId` と同格、出力に現れない	-	-
A03	-	Mask Mode(MASK)	乗っていない	`MaskMode`(enum)、`Intent::SetMasks`巡回ボタン。マスク合成に直接効く	穴	next/ui/motolii-inspector-pane/src/mask.rs
A03	-	Mask Inverted(MASK)	乗っていない	`bool`、`Intent::SetMasks`。反転は出力に直接効く	穴	next/ui/motolii-inspector-pane/src/mask.rs
A03	-	Mask Opacity(MASK)	乗っている	`PropertyId::mask_opacity`、Key列あり	-	-
A03	-	Effect 名(plugin表示名、EFFECTS)	乗るべきでない	`plugin_display_name(&effect.plugin_id)` から導出、識別のみ	-	-
A03	-	Effect Enabled/Bypass(EFFECTS)	乗っている	新発見(監査訂正): `EffectInstance.enabled` フィールドは2026-08-23裁定213で既に削除され `effect.{id}.enabled` という平坦track(`PropertyId::effect_enabled`)へ移行済み(`next/core/motolii-store/src/effect.rs:16-33`)。Inspector側もKey列配線済み(`next/ui/motolii-inspector-pane/src/effects.rs:201-210,232,362`、`KeyRow::EffectEnabled`)。先行棚卸し(2026-08-23-inspector-time-axis-audit.md)のK一覧#7は同日中に着地済みで陳腐化している	-	-
A03	-	Effect Param(Threshold/Intensity/Radius、EFFECTS)	乗っている	`PropertyId::effect_param`、Key列あり	-	-
A03	-	Effect 適用順(↑↓ reorder、EFFECTS)	乗るべきでない	`Vec`の並び(構造)であって「値」ではない。Position/Scale と同格ではない	-	-
A03	-	Level/Pan/FadeIn/FadeOut(AUDIO、4欄)	乗っている	`property::LEVEL/PAN/FADE_IN/FADE_OUT`、Key列あり(4欄とも)	-	-
A03	-	Text Content(本文、TEXT)	乗っている	`ContentTrack::eval(t)`(text.rs:167-171)が自前で時刻つき値列を評価する(PropertyId系ではなく独自機構)。既に時間軸に乗っている — 残りは Inspector の Key 列が無いだけ(UI 配線、副監督A write-set 外)	-	-
A03	-	Font Family + path(TEXT)	乗るべきでない	`FontRef.family/path`。裁定214 が名指し(String 実体path=identity)	-	-
A03	-	Text Size(TEXT)	乗っている	`PropertyId::text_style_size`。A-1b が `StoreView::resolved_text_document` で評価側を結線、D-1(2026-08-23)が Preview(`render.rs`)/Export(`lottie.rs`)を同じ関数へ揃え、Inspector の Key 列 + drag も結線(`text.rs::size_row`)	-	next/ui/motolii-inspector-pane/src/text.rs ※過積載(662行→拡張)
A03	-	Line Height(TEXT)	乗っている	`PropertyId::text_style_line_height`。同上	-	next/ui/motolii-inspector-pane/src/text.rs ※過積載(662行→拡張)
A03	-	Tracking(TEXT)	乗っている	`PropertyId::text_style_tracking`。同上	-	next/ui/motolii-inspector-pane/src/text.rs ※過積載(662行→拡張)
