#axis: A04 量
#question: 50レイヤー・10分尺(5,400〜9,000フレーム)・4K で壊れないか(次GOALS.md D7・「歌詞50〜100枚」基準)
#verdicts: 耐える|画面に収まらない|計算量で壊れる|上限がある|未計測
#sweep: grep -rln "scrollable" next/ui next/shell
#sweep: grep -n "widget::scrollable" next/ui/motolii-timeline-pane/src/lib.rs next/ui/motolii-browser-pane/src/lib.rs
#sweep: for d in next/ui/*/src next/shell/*/src next/core/*/src next/engine/*/src; do n=$(grep -rn "for .* in" $d | wc -l); done  (ファイルごとの for 出現数を数えて3件以上の物を個別に読む)
#sweep: grep -rn "\.clone()" next/core/motolii-store/src next/core/motolii-eval/src next/engine/motolii-compositor/src next/ui/motolii-timeline-pane/src
#sweep: grep -n "fn draw" -A2 next/ui/motolii-timeline-pane/src/canvas.rs next/ui/motolii-timeline-pane/src/key_rows.rs
#sweep: grep -n "fn flattened" -A30 next/core/motolii-store/src/persist.rs
#sweep: grep -n "fn eval" -A20 next/core/motolii-eval/src/track.rs
#sweep: grep -n "for lwp in layers" -A5 next/engine/motolii-compositor/src/lib.rs
#sweep: sed -n '1,60p' next/probes/r1-frame-throughput/tests/r1.rs; grep -n "40枚\|document_with(4\|the_lever_is_proxy" next/probes/r1-frame-throughput/tests/r1.rs
#sweep: grep -rin "lock_all\|LockAll\|unlock_all\|UnlockAll\|remove_all_text_animator\|RemoveAllAnimators" next/shell next/ui
#sweep: sed -n '2155,2200p' next/shell/motolii-shell/src/lib.rs (AssetTable::admit のループ)
#sweep: grep -n "fn view\|selected_layers\|selection\b" next/ui/motolii-inspector-pane/src/lib.rs | head -40
#sweep: grep -n "fn duplicate_layer" -A20 next/shell/motolii-shell/src/lib.rs
#sweep: grep -n "required_buckets\|fn waveform_segments" -A10 next/ui/motolii-timeline-pane/src/waveform_view.rs
#sweep: wc -l next/ui/motolii-timeline-pane/src/*.rs next/shell/motolii-shell/src/lib.rs next/ui/motolii-inspector-pane/src/lib.rs next/ui/motolii-browser-pane/src/lib.rs next/core/motolii-store/src/*.rs next/engine/motolii-compositor/src/lib.rs
axis	map_id	対象	判定	証拠	穴	責任
A04	-	Timeline 縦スクロール(rail+行canvas)	耐える	lib.rs:403 `iced::widget::scrollable` が rail+canvas を1本の子として包む(commit 9340d9f6 2026-08-23、当日中に根治)。裁定207/KNOWN.md記載の「scrollable使用ゼロ・行高20px」は現状のmainと不一致(先行して直っていた) — 台帳作成時点の既知穴は失効	-	next/ui/motolii-timeline-pane/src/lib.rs:651(※過積載)
A04	-	Timeline 行canvas draw(rows全件を毎フレーム構築)	耐える	canvas.rs:136,166 の2ループ(zebra wash・層行本体)は D-5(2026-08-23)で viewport 引数を運ぶ wrapper widget(viewport_canvas.rs::ViewportCanvas、iced::widget::canvas の Widget 実装を写して _viewport を握りつぶさず Program 拡張(ViewportProgram::draw_viewport)へ転送するだけの薄いラッパ — canvas::Program トレイト自体は無改造)へ差し替え済み。各行の重い描画(Path構築・fill・波形lookup・hairline)は可視域(+行高1つ分の余白)と重ならない行では丸ごとskipされる — ループのindex走査自体はO(rows)のままだが、支配的コスト(fill_rectangle/rounded_rectangle/波形line)はO(可視行数)へ低下。絵の不変は「行は互いに重ならない帯」というEXACT TARGET 1の構造から、可視域を判定するrow_visibleが実際の可視矩形の超集合になる区間包含として`canvas::culling_tests`(7本、うち1本は2000ケースの疑似乱数総当たり)で実測。50〜100行での実機フレーム時間の実測はしていない(計算量の変化のみ、数字は捏造しない)	-	next/ui/motolii-timeline-pane/src/canvas.rs:591,next/ui/motolii-timeline-pane/src/viewport_canvas.rs
A04	-	key_rows(展開したproperty行のキーフレーム)draw	耐える	key_rows.rs の `keys_for_draw()`(旧 `draw` 内 for ループの手前に新設)— `row.keys` は frame 昇順(`motolii-eval::KeyframeTrack::eval` の `binary_search_by` が要求する前提を継承)なので `frame_to_x` も単調非減少、同じ画面ピクセル列へ重なるキーは必ず連続区間になる。各区間の**最後の1本**(最終的に画面へ乗る色を決める本人)だけを描き、残りは間引く — 不透明・同形の重ね塗りは冗長なので最終ラスタは不変(疎な配置では退化して全キー描画に一致、`culling_tests::sparse_keys_are_all_kept_unchanged` が実証)。draw呼び出しあたりの実描画本数は O(property行数×keyframe数) → **O(property行数×min(keyframe数,画面px数))** へ低下(`culling_tests::ten_thousand_dense_keys_cull_down_to_at_most_the_pixel_width` が1200px幅×10,000key入力で実測)。「絵が変わらない」は canvas を通さない層(pixel→最終selected の写像を比較)で5本のテストが証明。**band_top/band_bottom(property行そのものの縦位置)は未対応** — 選択中1レイヤー分のproperty数(実運用10〜30程度)はレイヤー数(50〜100)より小さく、この finding の本体(keyframe数の爆発)には効かないため対象外とした 〔判定の但し書き: (時間軸カリング施工、レーンA-5 2026-08-23)〕	-	next/ui/motolii-timeline-pane/src/key_rows.rs:317
A04	-	key_rows selected_frame_bounds(選択keyの範囲計算)	計算量で壊れる	key_rows.rs:138-139 `for row in &pane.property_rows { for key in &row.keys { ... } }` — draw と同型の二重走査。gesture中(drag)に毎フレーム呼ばれる経路かは未確認だが、update() 内から呼ばれる作りなら1入力イベントごとにO(property行×key数) 〔穴列の但し書き: 未計測〕	穴	next/ui/motolii-timeline-pane/src/key_rows.rs:317
A04	434	Duplicate(複製)	上限なし	`selected_layers` 全員を `apply_all` 1回(=1 undo)へ束ねる。selection(単数)は読まない — shell/motolii-shell/src/selection.rs:119-151 実測(2026-08-23)。旧判定「単一selectionのみ・穴」は E系wave が閉じた後の取り残し(2026-08-23 実測で訂正)	-	next/shell/motolii-shell/src/selection.rs:119-151
A04	-	Inspector 一括編集	上限がある	inspector-pane/src/lib.rs:448 `view()` は `Option<SelectionProjection>`(単数)を match するだけ。crate全体を grep しても `selected_layers` の読み出しは0件(生成規約 `motolii-shell::update_inspector` が単一selectionだけを渡す構造) — 複数選択時にInspectorへ複数枚分の値をまとめて反映・編集する経路が構造的に無い	穴	next/ui/motolii-inspector-pane/src/lib.rs:1899(※過積載)
A04	875	Lock/Unlock All Video Tracks(一括ロック)	上限がある	normal-map.tsv 875行目の理由列に「一括ロック操作は未実装(個別lockは873参照)」と製品側の自己申告あり。コード側 grep(`lock_all`/`LockAll`/`unlock_all`/`UnlockAll`)も0件で、個別layerのhidden/solo/lockトグルはあるが一括操作のMessage/関数自体が存在しない	穴	next/shell/motolii-shell/src/lib.rs:6228(※過積載)
A04	1290	Remove All Text Animators(アニメーター一括削除)	上限がある	normal-map.tsv 1290行目の理由列に「アニメーター一括削除…はUI利便機能」(未実装の含み)。grep(`remove_all_text_animator`/`RemoveAllAnimators`)は next/shell next/ui とも0件	穴	next/ui/motolii-inspector-pane/src/lib.rs:1899(※過積載)
A04	608	Browser pane 資産一覧の縦スクロール	耐える	browser-pane/src/lib.rs:1276,1520 `scrollable(column(rows)...)` — 資産数Nに対しスクロールで画面に収まる構造は在る	-	-
A04	-	AssetTable::admit(素材取り込み時のfingerprint hash)	未計測	shell/motolii-shell/src/assets.rs:27(旧台帳の lib.rs:2159 参照は既に失効していた実測 — admit 自体は今回の SP-1 分割以前から assets.rs 側にある)`fn admit(paths: Vec<PathBuf>)` は `for path in paths { ... Self::fingerprint_source(&path) ... }` の直列ループ(UI thread同期、KNOWN.md既載事実の延長)。ここでの新規観点: **N件を一括ドロップした時の合計時間はNに線形**で、multi-GB素材×N件の合計はKNOWN既載の単一ファイル未計測よりさらに未計測。B7(4ms)超過の可能性はNが増えるほど上がる	穴	next/shell/motolii-shell/src/lib.rs:6228(※過積載)
