#axis: A10 予告
#question: hover・カーソル・中間表示が在るか(無反応ゼロ、Q0/Q3)
#verdicts: 予告あり|hoverのみ|カーソルのみ|何も無い|触れそうだが機能しない(Q0違反)
#sweep: grep -rn "on_press(" next/ui next/shell --include='*.rs' | grep -v /tests/   (38件、GESTURES.md §0 と同数)
#sweep: grep -rln "mouse_area(" next/ui next/shell --include='*.rs' | grep -v /tests/   (4ファイル: browser-pane lib.rs/state.rs, timeline-pane rail.rs, inspector-pane chrome.rs)
#sweep: grep -rln "pick_list(" next/ui next/shell --include='*.rs' | grep -v /tests/   (3ファイル: inspector-pane matte.rs/link.rs/text.rs。shell/lib.rs のヒットはコメントのみ)
#sweep: grep -rn "Interaction::" next/ui next/shell --include='*.rs' | grep -v /tests/   (62件、GESTURES.md §0 と同数)
#sweep: grep -rln "Status::Hovered\|button::Status" next/ui next/shell --include='*.rs' | grep -v /tests/   (13ファイル。browser-pane/export-pane/timeline-pane transport.rs/menubar/settings-pane chrome.rs/stage-pane(2)/inspector-pane(2)/shell/lib.rs)
#sweep: grep -n "Status::Hovered\|button::Status" next/ui/motolii-inspector-pane/src/effects.rs next/ui/motolii-timeline-pane/src/rail.rs   (空振り = 両方とも独自hoverスタイルを持たない)
#sweep: awk -F'\t' '$1==1441||$1==1442||$1==1490||$1==1491{print $1,$3}' next/reference/normal-map.tsv   (Zoom In/Out/to 100%/to fit の4行実在確認)
#sweep: grep -n "zoom_step\|NamedZoomLevel" next/shell/motolii-shell/src/lib.rs   (空振り = 呼び手が無い)
axis	map_id	対象	判定	証拠	穴	責任
A10	-	Inspector 数値ドラッグ(transform.rs::start/continue/finish_field_drag)	カーソルのみ	Interaction::ResizeHorizontal(値セル全域、chrome.rs:382)。Status::Hovered配線はtransform.rs/chrome.rsのgrepに未ヒット=hover視覚変化は未確認	穴	next/ui/motolii-inspector-pane/src/transform.rs
A10	-	Inspector click→type編集(field_input_id/enter_field_editing)	カーソルのみ	ResizeHorizontal→(切替後は通常text cursor)。ドラッグ列と同根、hover変化未確認	穴	next/ui/motolii-inspector-pane/src/transform.rs
A10	-	ラベル色チップ巡回(chrome.rs::label_color_chip)	hoverのみ	chrome.rsはStatus::Hovered配線ありのファイル群に含まれる。明示Interactionは既定(Pointer相当)のみ	-	next/ui/motolii-inspector-pane/src/chrome.rs
A10	-	Inspector M(Hidden)トグル(chrome.rs::mute_glyph)	hoverのみ	同上chrome.rs、既定カーソル	-	next/ui/motolii-inspector-pane/src/chrome.rs
A10	-	Timeline rail M/S/L トグル(rail.rs::Message::ToggleMute/Solo/Lock)	予告あり	2026-08-23 E-4結線: glyph_button の style closure が _status を無視し常に surface_hover を敷くバグを修正(transport_button と同形、Hovered|Pressed のみ背景)。カーソルは iced button の既定 Pointer(on_press.is_some() 時、Interaction 明示配線不要)。M/S/L の on/off 状態は text_color(action_active/text_secondary)で別軸に見える	-	next/ui/motolii-timeline-pane/src/rail.rs
A10	-	Timeline 行選択(rail.rs::layer_row、旧 mouse_area→button)	予告あり	2026-08-23 E-4結線: 行ラッパーを mouse_area+container から button へ統一(transport_button と同形)。hover=surface_hover(選択中は上書きしない)・選択=state_selected・カーソルは既定 Pointer	-	next/ui/motolii-timeline-pane/src/rail.rs
A10	-	Timeline clip move(clip_gesture.rs::moved_start)	カーソルのみ	Interaction::Grab(body、input.rs)。hover変化はclip_gesture.rs/input.rsともgrep未ヒット	穴	next/ui/motolii-timeline-pane/src/clip_gesture.rs
A10	-	Timeline clip trim(clip_gesture.rs::trimmed_in_start/trimmed_out_end)	カーソルのみ	Interaction::ResizeHorizontal(端)。hover変化未確認	穴	next/ui/motolii-timeline-pane/src/clip_gesture.rs
A10	-	Playhead scrub(ruler.rs/input.rs、Message::ScrubTo)	カーソルのみ	Interaction::Crosshair(空白面、正典§5.5)。ドラッグ中の中間表示はplayhead自体の即時移動のみで数値readoutの明示配線は未確認	穴	next/ui/motolii-timeline-pane/src/input.rs
A10	-	Timeline キー(菱形)クリック選択(key_rows.rs)	カーソルのみ	Interaction::Pointer(菱形上)。選択後の色変化はある想定だがhover単体の視覚変化はgrep未確認	-	next/ui/motolii-timeline-pane/src/key_rows.rs
A10	-	Timeline キー(菱形)時刻ドラッグ(key_gesture.rs::dragged_group_frame)	カーソルのみ	Interaction::Grabbing。ドラッグ中のスナップ線等の中間表示は正典§3に記述あるが本ファイル調査では未確認	-	next/ui/motolii-timeline-pane/src/key_gesture.rs
