#axis: A12 入力の物理
#question: IME・日本語・修飾キー・ホイール・トラックパッドが壊れないか
#verdicts: 扱えている|壊れる|入口が無い|未確認
#sweep: grep -rln "text_input" --include=*.rs next/ | grep -v /target/ | grep -v /tests/
#sweep: grep -rn "\.ime\|Ime::|IME|ime_hint|is_ime" --include=*.rs next/ (next/ 側は0件)
#sweep: iced fork(pin 73e686e、cargo git checkout実測パス /Users/member_ottoto/.cargo/git/checkouts/iced-1bbb4ed9d90ae4f8/73e686e)を読む: grep -n "Ime" winit/src/conversion.rs / grep -n "InputMethod" core/src/text/editor.rs / grep -n "fn from_key_press" core/src/text/editor.rs
#sweep: grep -rn "modifiers.command()\|!modifiers\." --include=*.rs next/ | grep -v /target/ | grep -v ui/motolii-keymap
#sweep: grep -n "inspector_pointer_event\|resolve_navigation_key\|WindowEvent::Ime\|captured" shell/motolii-shell/src/lib.rs
#sweep: grep -rn "WheelScrolled\|scrollable(" ui/motolii-timeline-pane/src/*.rs
#sweep: grep -rn "Pinch\|Magnify\|Gesture" iced fork winit/src/conversion.rs core/src/mouse/*.rs (0件)
#sweep: grep -rn "日本語\|レイヤー名" --include=*.rs next/ (テキスト内容のテストはあるがファイル名テストは0件)
#sweep: cat shell/motolii-shell/tests/suite/keymap_equivalence.rs 冒頭(global_bindingsはinspector_pointer_eventが非pubのため突き合わせ対象外、と明記)
axis	map_id	対象	判定	証拠	穴	責任
A12	-	IME変換の確定(Commit)	扱えている	fork /Users/member_ottoto/.cargo/git/checkouts/iced-1bbb4ed9d90ae4f8/73e686e/core/src/text/editor.rs:469-472「`input_method::Event::Commit(content) if self.focus.is_some() => Some(Update::Action(Edit::Paste(...))))`」── winit `Ime::Commit` → iced `Event::InputMethod` → editorのテキスト挿入まで1本道。Motolii側の各text_input(ui/motolii-inspector-pane等)は独自実装を持たずこの共通経路に乗る	-	fork側(次に触るならcore/src/text/editor.rs)
A12	-	IME変換中の候補表示(Preedit)	扱えている	同ファイル:460-468「`Preedit(content, selection) if self.focus.is_some()`」でstate.preeditへ格納・再描画	-	同上
A12	-	IME変換確定のEnterキーとtext_inputのon_submitの競合(rename等での二重発火)	未確認	fork core/src/text/editor.rs:474-540のKeyPressed処理に`self.preedit.is_some()`を見てEnterを除外する分岐が見当たらない(コード上は素通り)。ただしmacOS/winitはIME変換中のEnterをOSレベルでIMEへ先取りさせ、アプリ側へは変換確定後の別イベントとして届く実装が一般的 ── 実機でしか判定できない(このレーンはcargoを回さない裁定のため未検証)	-	fork側(直すならcore/src/text/editor.rs 474-540)
A12	-	IME変換中のEscapeキー(変換破棄 vs. Motolii側EscapeCancel/Global bindingとの取り合い)	未確認	shell/motolii-shell/src/input.rs:81(2026-08-23 分割で移動)-5766(`inspector_pointer_event`のEscape腕はGlobal scope、textが変換中かどうかを一切見ずMessage::EscapePressedを発火)。IMEのEscapeをOSが先取りするかfork側が透過させるかは実機未検証	-	実機検分が必要。直すならfork(IME優先度)かshell/motolii-shell/src/lib.rs:5762
A12	-	修飾キー(Cmd/Shift/Alt)衝突の一般規律(Cmd+O型の再発防止)	扱えている	shell/motolii-shell/src/input.rs:208(2026-08-23 分割で移動)-6048の裸キー腕は全て個別に`!modifiers.command()`ガードを持つ(j/k/l/i/o/b/n/,/.の9本を実測)。加えてui/motolii-keymap/src/binding.rs:76-92の`Keymap::build`がkey+modifiers重複を構築時Errで検出し(裁定215棚卸し由来)、shell/motolii-shell/tests/suite/keymap_equivalence.rs全体が`resolve_navigation_key`とこの表の等価性を回帰的に保証する	-	shell/motolii-shell/src/lib.rs(規約側)+ui/motolii-keymap/src/binding.rs(構造保証側)
A12	-	Backspace/Delete(Timelineキー削除)がtext_input編集中でも無条件発火する経路	壊れる	shell/motolii-shell/src/input.rs:81(2026-08-23 分割で移動)-5775「`inspector_pointer_event`のBackspace/Delete腕はGlobal scope ── `status`(captured)を一切見ずに常時`Message::Timeline(DeleteSelectedKeys)`を発火する」。コード自身のdoc comment(5771-5775行)は「選択キーが無い限り衝突しない」と書くのみ ── 逆に言えば**Timeline上でキーフレームを選択したまま別paneのtext_input(レイヤー名rename等)でBackspaceを押すと、文字が1つ消えると同時に選択中の全キーフレームも削除される**。二重発火の実害が生じる具体的シナリオ。keymap_equivalence.rs:9-11「`inspector_pointer_event`が非pubのためglobal_bindingsは突き合わせ対象外」と明記されており、回帰テストの外側	-	shell/motolii-shell/src/lib.rs:5762(inspector_pointer_event) ※過積載 6228行
A12	-	Cmd+Z/Cmd+C/Cmd+V/Cmd+X/Cmd+A(text_input編集中のUndo/Copy/Paste/Cut/SelectAll)がDocument側の同名操作と二重発火しないか	扱えている	fork core/src/text/editor.rs:802-822「`from_key_press`がCmd+Z→Binding::Undo、Cmd+C→Copy等をtext編集の内部動作として先取りしshell.capture_event()を呼ぶ」+shell/motolii-shell/src/input.rs:208(2026-08-23 分割で移動)-5861(`resolve_navigation_key`は`captured`がtrueなら即`return None`)。text_inputにフォーカスがある間はCmd+Z等が先にeditor内部で消費されるため、Document側のUndo/Copy/Paste/Cut/SelectAllは二重に発火しない ── M20「TextInput 中はテキスト優先」を満たす	-	fork側(仕組みの本体)+shell/motolii-shell/src/lib.rs:5858(委譲側)
A12	-	日本語・スペース入りのcomp名/layer名(rename UIでの入力)	未確認	store側の型はString(制約無し、UTF-8前提のRust標準)。text content(歌詞等)の日本語対応はui/motolii-inspector-pane/tests/text_section.rs:212やprobes/r6-text-shaping/tests/r6.rsで検証済みだが、これは「テキストレイヤーの内容」であって「layer/comp名のrename」の日本語・空白混在は専用試験がgrep 0件 ── 型上は通るはずだが実地未検証	-	ui/motolii-inspector-pane(rename UIの試験を書くならここ)
A12	-	日本語ファイル名(Save/Open/Import時のOSネイティブダイアログ経由)	未確認	PathBuf/rfdはOSのUTF-8パスをそのまま扱える設計のはずだが、next/内に日本語ファイル名でのsave/load往復試験はgrep 0件(core/motolii-store/tests/persist.rsのラウンドトリップ試験はASCIIパスのみ実測)	-	core/motolii-store/tests/persist.rs(試験を足すならここ)
A12	-	ホイールスクロール(Timeline pane、縦/横)	扱えている	ui/motolii-timeline-pane/src/lib.rs:403「`scrollable(row![rail::view, canvas])`」── iced標準scrollable widgetが素のWheelScrolledイベントを処理する経路に乗る	-	-
