crate	bundle	束の名前	map_id	freq	項目	意味	verdict
ui/motolii-timeline-pane	B52	トラック構造管理束	1315	2	New Sequence / Timeline / Composition	新規シーケンス・タイムライン・コンポジションを作成	採用予定
ui/motolii-timeline-pane	B20	再生ヘッド移動束	1088	1	Next Clip/Edit	Down Arrow	結線待ち
ui/motolii-timeline-pane	B20	再生ヘッド移動束	1089	1	Next Edit	次の編集点へ	結線待ち
ui/motolii-timeline-pane	B20	再生ヘッド移動束	1108	1	Previous Clip/Edit	Up Arrow	結線待ち
ui/motolii-timeline-pane	B20	再生ヘッド移動束	1109	1	Previous Edit	前の編集点へ	結線待ち
ui/motolii-timeline-pane	B52	トラック構造管理束	1327	1	Close Current Timeline	現在のタイムラインを閉じる	採用予定
ui/motolii-timeline-pane	B52	トラック構造管理束	1368	1	Track Magnet	トラック吸着(整列補助)	採用予定
ui/motolii-timeline-pane	B21	再生/スクラブ束	16	1	Audio Scrubbing	音声スクラビング	採用予定
ui/motolii-timeline-pane	B39	トリム/カット編集束	171	1	Add Edit	再生ヘッド位置でカット追加(レーザー相当)	採用予定
ui/motolii-timeline-pane	B52	トラック構造管理束	173	1	Add Tracks	トラック追加(映像/音声/サブミックス)	採用予定
ui/motolii-timeline-pane	B52	トラック構造管理束	195	1	Delete Tracks	空トラックを削除	採用予定
ui/motolii-timeline-pane	B39	トリム/カット編集束	317	1	Split selected layers	選択レイヤーを分割	採用予定
ui/motolii-timeline-pane	B39	トリム/カット編集束	330	1	Trim In or Out point to current time	現在時刻でIn/Outをトリム	採用予定
ui/motolii-timeline-pane	B21	再生/スクラブ束	4	1	Audio	オーディオプレビュー	採用予定
ui/motolii-timeline-pane	B15	キーフレーム束	472	1	Add Keyframe	キーフレームを追加	結線待ち
ui/motolii-timeline-pane	B15	キーフレーム束	473	1	Add Keyframe	キーフレーム追加	結線待ち
ui/motolii-timeline-pane	B15	キーフレーム束	474	1	Add Keyframe	Command+[	結線待ち
ui/motolii-timeline-pane	B15	キーフレーム束	476	1	Add or remove keyframe at current time	現在時刻でキーフレームを追加/削除	結線待ち
ui/motolii-timeline-pane	B15	キーフレーム束	477	1	Add Static Keyframe	静的キーフレーム追加	結線待ち
ui/motolii-timeline-pane	B15	キーフレーム束	478	1	Add Static Keyframe	Command+]	結線待ち
ui/motolii-timeline-pane	B15	キーフレーム束	507	1	Reverse paste copied keyframes	コピーしたキーフレームを逆順貼り付け	結線待ち
ui/motolii-timeline-pane	B19	マーカー/フラグ束	728	1	Add and Modify Marker	マーカー追加/編集	結線待ち
ui/motolii-timeline-pane	B19	マーカー/フラグ束	738	1	Modify Marker	マーカー編集	結線待ち
