kind	owner	field_or_literal	value	file	line	context	suggested_token	verdict
design_const		MIN_WIDTH	3	next/shell/motolii-shell/src/batch_rename.rs	23	const	min_width	GREEN_POLICY
design_const		NOMINAL_WAVEFORM_WIDTH_PX	960.0	next/shell/motolii-shell/src/playback.rs	321	const	nominal_waveform_width_px	GREEN_POLICY
design_const		CANVAS_WIDTH	1600	next/shell/motolii-shell/src/screenshot.rs	202	const	canvas_width	GREEN_POLICY
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/screenshot.rs	218	theme.space.m	theme.space.m	GREEN
utility_ref	theme	theme.size.panel_header	token	next/shell/motolii-shell/src/screenshot.rs	226	theme.size.panel_header	theme.size.panel_header	GREEN
utility_ref	theme	theme.space.l	token	next/shell/motolii-shell/src/screenshot.rs	226	theme.space.l	theme.space.l	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/screenshot.rs	226	theme.space.m	theme.space.m	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	234	theme.space.s	theme.space.s	GREEN
utility_ref	theme	theme.text.body	token	next/shell/motolii-shell/src/screenshot.rs	234	theme.text.body	theme.text.body	GREEN
utility_ref	theme	theme.text.caption	token	next/shell/motolii-shell/src/screenshot.rs	234	theme.text.caption	theme.text.caption	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	240	theme.space.xs	theme.space.xs	GREEN
utility_ref	theme	theme.text.caption	token	next/shell/motolii-shell/src/screenshot.rs	240	theme.text.caption	theme.text.caption	GREEN
token_ref	dims	inspector_section_header_height	token	next/shell/motolii-shell/src/screenshot.rs	251	dims.inspector_section_header_height	inspector_section_header_height	GREEN
token_ref	dims	inspector_section_header_height	token	next/shell/motolii-shell/src/screenshot.rs	265	dims.inspector_section_header_height	inspector_section_header_height	GREEN
token_ref	dims	inspector_row_height	token	next/shell/motolii-shell/src/screenshot.rs	266	dims.inspector_row_height	inspector_row_height	GREEN
token_ref	dims	inspector_row_height	token	next/shell/motolii-shell/src/screenshot.rs	293	dims.inspector_row_height	inspector_row_height	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	297	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_hairline_weak	token	next/shell/motolii-shell/src/screenshot.rs	298	colors.border_hairline_weak	border_hairline_weak	GREEN
token_ref	dims	inspector_value_width	token	next/shell/motolii-shell/src/screenshot.rs	301	dims.inspector_value_width	inspector_value_width	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	302	theme.space.s	theme.space.s	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	304	theme.space.xs	theme.space.xs	GREEN
token_ref	dims	inspector_glyph_width	token	next/shell/motolii-shell/src/screenshot.rs	305	dims.inspector_glyph_width	inspector_glyph_width	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/screenshot.rs	306	theme.space.m	theme.space.m	GREEN
token_ref	colors	surface_app	token	next/shell/motolii-shell/src/screenshot.rs	308	colors.surface_app	surface_app	GREEN
token_ref	dims	inspector_panel_width	token	next/shell/motolii-shell/src/screenshot.rs	323	dims.inspector_panel_width	inspector_panel_width	GREEN
token_ref	colors	surface_panel	token	next/shell/motolii-shell/src/screenshot.rs	328	colors.surface_panel	surface_panel	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	332	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	333	colors.border_default	border_default	GREEN
token_ref	dims	inspector_section_header_height	token	next/shell/motolii-shell/src/screenshot.rs	339	dims.inspector_section_header_height	inspector_section_header_height	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	343	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	344	colors.border_default	border_default	GREEN
token_ref	colors	surface_raised	token	next/shell/motolii-shell/src/screenshot.rs	355	colors.surface_raised	surface_raised	GREEN
