kind	variant	判定	参照元(next/ui・next/shell の非テスト)
Intent	AddLayer	入口あり	shell/motolii-shell/src/assets.rs;shell/motolii-shell/src/batch_rename.rs;shell/motolii-shell/src/clipboard.rs;shell/motolii-shell/src/create.rs;shell/motolii-shell/src/fixture.rs;shell/motolii-shell/src/render.rs;ui/motolii-inspector-pane/src/text/style_track.rs;ui/motolii-stage-pane/src/gizmo/tests.rs;ui/motolii-timeline-pane/src/projection/audio.rs;ui/motolii-timeline-pane/src/projection/tree.rs;ui/motolii-timeline-pane/src/split.rs
Intent	AddMask	入口あり	shell/motolii-shell/src/clipboard.rs;shell/motolii-shell/src/create.rs;ui/motolii-browser-pane/src/model/tabs.rs;ui/motolii-browser-pane/src/state.rs
Intent	AdmitAsset	入口あり	shell/motolii-shell/src/assets.rs;shell/motolii-shell/src/fixture.rs;ui/motolii-browser-pane/src/lib.rs;ui/motolii-browser-pane/src/model/projection.rs;ui/motolii-browser-pane/src/model/test_support.rs
Intent	Freeze	入口あり	shell/motolii-shell/src/lib.rs;shell/motolii-shell/src/selection.rs;ui/motolii-timeline-pane/src/split.rs
Intent	RemoveAsset	入口あり	shell/motolii-shell/src/create.rs;ui/motolii-browser-pane/src/card_view.rs;ui/motolii-browser-pane/src/state.rs
Intent	RemoveLayer	入口あり	shell/motolii-shell/src/lib.rs;shell/motolii-shell/src/selection.rs;ui/motolii-menubar/src/context.rs
Intent	SetAttrs	入口あり	shell/motolii-shell/src/assets.rs;shell/motolii-shell/src/batch_rename.rs;shell/motolii-shell/src/clipboard.rs;shell/motolii-shell/src/create.rs;shell/motolii-shell/src/fixture.rs;shell/motolii-shell/src/inspector_ops.rs;shell/motolii-shell/src/selection.rs;ui/motolii-inspector-pane/src/chrome.rs;ui/motolii-inspector-pane/src/lib.rs;ui/motolii-inspector-pane/src/matte.rs;ui/motolii-inspector-pane/src/transform/interaction.rs;ui/motolii-stage-pane/src/gizmo/tests.rs;ui/motolii-timeline-pane/src/projection/tree.rs;ui/motolii-timeline-pane/src/split.rs;ui/motolii-timeline-pane/src/write/misc.rs;ui/motolii-timeline-pane/src/write/mod.rs
Intent	SetCameraPropertyModulators	入口ゼロ	
Intent	SetCameraPropertySlot	入口ゼロ	
Intent	SetCameraTrack	入口ゼロ	
Intent	SetComposition	入口あり	shell/motolii-shell/src/clipboard.rs;shell/motolii-shell/src/document_io.rs;shell/motolii-shell/src/fixture.rs;shell/motolii-shell/src/lib.rs;shell/motolii-shell/src/render.rs;ui/motolii-inspector-pane/src/text/style_track.rs;ui/motolii-settings-pane/src/lib.rs;ui/motolii-settings-pane/src/sections.rs;ui/motolii-stage-pane/src/gizmo/tests.rs;ui/motolii-timeline-pane/src/projection/audio.rs;ui/motolii-timeline-pane/src/projection/tree.rs
Intent	SetEffects	入口あり	shell/motolii-shell/src/clipboard.rs;shell/motolii-shell/src/create.rs;shell/motolii-shell/src/fixture.rs;ui/motolii-browser-pane/src/state.rs;ui/motolii-inspector-pane/src/effects.rs;ui/motolii-inspector-pane/src/lib.rs;ui/motolii-timeline-pane/src/split.rs
Intent	SetMarkers	入口あり	shell/motolii-shell/src/fixture.rs;shell/motolii-shell/src/render.rs;ui/motolii-timeline-pane/src/markers.rs;ui/motolii-timeline-pane/src/write/mod.rs
Intent	SetMasks	入口あり	shell/motolii-shell/src/clipboard.rs;ui/motolii-inspector-pane/src/lib.rs;ui/motolii-inspector-pane/src/mask.rs;ui/motolii-timeline-pane/src/split.rs
