kind	symbol	crate	path:line	vis	doc1行	署名
struct	PcmFormat	motolii-audio	engine/motolii-audio/src/cache.rs:10	public	PCMの形式(チャンネル数・サンプルレート)。stream単位で単一。	
struct_field	channels	motolii-audio	engine/motolii-audio/src/cache.rs:11	public		u16
struct_field	sample_rate	motolii-audio	engine/motolii-audio/src/cache.rs:12	public		u32
function	clone	motolii-audio	engine/motolii-audio/src/cache.rs:19	default		(self: &Self) -> PcmCache
function	fmt	motolii-audio	engine/motolii-audio/src/cache.rs:19	default		(self: &Self, f: &mut Formatter) -> Result
struct	PcmCache	motolii-audio	engine/motolii-audio/src/cache.rs:20	public	stream 1本のインターリーブf32 PCM。デコード時に全展開してRAM保持する	
function	from_interleaved	motolii-audio	engine/motolii-audio/src/cache.rs:29	public	インターリーブf32バッファから構築する。境界検査済みの`read_frames`/`frame_at`の	(samples: Vec<f32>, format: PcmFormat) -> Result<Self>
function	format	motolii-audio	engine/motolii-audio/src/cache.rs:51	public		(self: &Self) -> PcmFormat
function	frame_count	motolii-audio	engine/motolii-audio/src/cache.rs:56	public	楽曲全体のフレーム数(1フレーム=全チャンネル分のサンプル1組)。	(self: &Self) -> u64
function	read_frames	motolii-audio	engine/motolii-audio/src/cache.rs:62	public	`start_frame`から`frame_count`フレーム分のインターリーブサンプルを読む。	(self: &Self, start_frame: u64, frame_count: usize) -> Result<&[f32]>
function	frame_at	motolii-audio	engine/motolii-audio/src/cache.rs:78	public	単一フレーム(全チャンネルのサンプル)を読む。`read_frames(idx, 1)`の糖衣。	(self: &Self, frame_index: u64) -> Result<&[f32]>
function	clone	motolii-audio	engine/motolii-audio/src/cache.rs:9	default		(self: &Self) -> PcmFormat
function	eq	motolii-audio	engine/motolii-audio/src/cache.rs:9	default		(self: &Self, other: &PcmFormat) -> bool
function	fmt	motolii-audio	engine/motolii-audio/src/cache.rs:9	default		(self: &Self, f: &mut Formatter) -> Result
struct	DeviceWaitLatency	motolii-audio	engine/motolii-audio/src/clock.rs:100	public	cpalデバイス出力コールバックで観測した待ち時間(サンプルフレーム)の置き場。	
function	wait_frames	motolii-audio	engine/motolii-audio/src/clock.rs:105	public		(self: &Self) -> u64
function	set_wait_frames	motolii-audio	engine/motolii-audio/src/clock.rs:110	public	シミュレーション/テスト用、および実デバイス結線が直接書く口。	(self: &Self, frames: u64)
function	update_from_output_callback	motolii-audio	engine/motolii-audio/src/clock.rs:117	public	cpal `OutputCallbackInfo::timestamp()` の `playback − callback` を写す	(self: &Self, info: &OutputCallbackInfo, sample_rate: u32)
function	default	motolii-audio	engine/motolii-audio/src/clock.rs:138	default		() -> PlaybackCounters
struct	PlaybackCounters	motolii-audio	engine/motolii-audio/src/clock.rs:139	public	実供給フレーム数とアンダーラン(無音補填)フレーム数を分離して数える監視口。	
function	frames_supplied	motolii-audio	engine/motolii-audio/src/clock.rs:147	public	実PCMサンプルから供給できたフレーム数(=論理sample位置)。	(self: &Self) -> u64
function	silence_frames	motolii-audio	engine/motolii-audio/src/clock.rs:152	public	アンダーランで無音を充填したフレーム数(論理sample位置には加算されない)。	(self: &Self) -> u64
