kind	symbol	crate	path:line	vis	doc1行	署名
variant	ZeroSizeBufferAllocation	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:11	default		unit
function	extend	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:129	public	Pushes several elements into the buffer.	(self: &mut Self, elements: impl/dyn) -> Result<usize, CpuWriteGpuReadError>
variant	BufferFull	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:17	default		struct{3}
function	add_n	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:176	public	Fills the buffer with n instances of an element.	(self: &mut Self, element: T, num_elements: usize) -> Result<(), CpuWriteGpuReadError>
struct_field	buffer_capacity_elements	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:18	default		usize
struct_field	num_elements_attempted_to_add	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:19	default		usize
struct_field	num_elements_actually_added	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:20	default		usize
function	push	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:217	public	Pushes a single element into the buffer and advances the write pointer.	(self: &mut Self, element: T) -> Result<(), CpuWriteGpuReadError>
function	is_empty	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:235	public	True if no elements have been pushed into the buffer so far.	(self: &Self) -> bool
function	num_written	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:241	public	The number of elements pushed into the buffer so far.	(self: &Self) -> usize
function	remaining_capacity	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:247	public	The number of elements that can still be pushed into the buffer.	(self: &Self) -> usize
function	capacity	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:252	public	Total number of elements that the buffer can hold.	(self: &Self) -> usize
variant	TargetBufferTooSmall	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:26	default		struct{3}
function	copy_to_texture2d_entire_first_layer	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:262	public	Copies all so far written data to the first layer of a 2D texture.	(self: Self, encoder: &mut CommandEncoder, destination: &GpuTexture) -> Result<(), CpuWriteGpuReadError>
struct_field	target_buffer_size	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:27	default		u64
struct_field	copy_size	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:28	default		u64
function	copy_to_texture2d	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:286	public	Copies all so far written data to a rectangle on a single 2D texture layer.	(self: Self, encoder: &mut CommandEncoder, destination: TexelCopyTextureInfo, copy_size: Extent3d) -> Result<(), CpuWriteGpuReadError>
struct_field	destination_offset	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:29	default		u64
function	copy_to_buffer	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:321	public	Copies the entire buffer to another buffer and drops it.	(self: Self, encoder: &mut CommandEncoder, destination: &Arc<DynamicResource<GpuBufferHandle, BufferDesc, Buffer>>, destination_offset: BufferAddress) -> Result<(), CpuWriteGpuReadError>
variant	TargetTextureBufferSizeMismatch	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:35	default		struct{2}
struct_field	max_copy_size	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:36	default		u64
struct_field	written_data_size	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:37	default		usize
struct	CpuWriteGpuReadBelt	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:404	public	Efficiently performs many buffer writes by sharing and reusing temporary buffers.	
function	new	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:483	public	Create a cpu-write & gpu-read staging belt.	(chunk_size: BufferSize) -> Self
function	allocate	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:516	public	Allocates a cpu writable buffer for `num_elements` instances of type `T`.	(self: &mut Self, device: &Device, buffer_pool: &GpuBufferPool, num_elements: usize) -> Result<CpuWriteGpuReadBuffer<T>, CpuWriteGpuReadError>
struct	CpuWriteGpuReadBuffer	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:55	public	A sub-allocated staging buffer that can be written to.	
function	before_queue_submit	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:595	public	Prepare currently mapped buffers for use in a submission.	(self: &mut Self)
function	after_queue_submit	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:623	public	Recall all of the closed buffers back to be reused.	(self: &mut Self)
function	total_buffer_size_in_bytes	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:705	public	Total capacity (in bytes) currently held across all chunk categories.	(self: &Self) -> u64
function	fmt	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:712	default		(self: &Self, f: &mut Formatter) -> Result
function	clone	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:8	default		(self: &Self) -> CpuWriteGpuReadError
function	eq	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:8	default		(self: &Self, other: &CpuWriteGpuReadError) -> bool
function	fmt	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:8	default		(self: &Self, f: &mut Formatter) -> Result
function	fmt	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:8	default		(self: &Self, __formatter: &mut Formatter) -> Result
enum	CpuWriteGpuReadError	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:9	public		
function	extend_from_slice	re-renderer	crates/viewer/re_renderer/src/allocator/cpu_write_gpu_read_belt.rs:96	public	Pushes a slice of elements into the buffer.	(self: &mut Self, elements: &[T]) -> Result<(), CpuWriteGpuReadError>
function	capacity	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:100	public	The number of elements that can be written without allocating more memory.	(self: &Self) -> usize
function	remaining_capacity	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:106	public	The number of elements that can be written without allocating more memory.	(self: &Self) -> usize
variant	ReachedMaximumNumberOfElements	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:14	default		struct{3}
struct_field	max_num_elements	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:15	default		usize
function	reserve	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:158	public	Ensures that there's space internally for at least `num_elements` more elements.	(self: &mut Self, num_elements: usize) -> Result<usize, CpuWriteGpuReadError>
struct_field	num_elements_attempted_to_add	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:16	default		usize
struct_field	num_elements_actually_added	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:17	default		usize
function	extend_from_slice	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:205	public	Pushes a slice of elements into the data texture.	(self: &mut Self, elements: &[T]) -> Result<(), DataTextureSourceWriteError>
struct_field	0	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:21	default		CpuWriteGpuReadError
variant	CpuWriteGpuReadError	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:21	default		tuple(1)
function	add_n	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:238	public	Fills the data texture with n instances of an element.	(self: &mut Self, element: T, num_elements: usize) -> Result<(), DataTextureSourceWriteError>
function	push	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:275	public		(self: &mut Self, element: T) -> Result<(), DataTextureSourceWriteError>
function	finish	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:330	public	Schedules copies of all previous writes to this `DataTextureSource` to a `GpuTexture`.	(self: Self, texture_format: TextureFormat, texture_label: impl/dyn) -> Result<GpuTexture, CpuWriteGpuReadError>
struct	DataTextureSource	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:35	public	Utility for writing data to a dynamically sized "data textures".	
function	new	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:72	public	Creates a new `DataTextureSource` with the given `RenderContext`.	(ctx: &RenderContext) -> Self
function	eq	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:8	default		(self: &Self, other: &DataTextureSourceWriteError) -> bool
