lane	axis	map_id	対象	判定	意味(normal-map)	write-set
core/motolii-store/src/persist.rs	A04	875	Lock/Unlock All Video Tracks(一括ロック)	上限がある	Option+Shift+9	shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A04	-	AssetTable::admit(素材取り込み時のfingerprint hash)	未計測		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A04	-	Document::flattened()/save(保存時の直列化)	未計測		core/motolii-store/src/persist.rs
core/motolii-store/src/persist.rs	A04	-	iced Elm-architecture: playback tick毎の全pane view()再構築	未計測		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A05	1393	`Find Missing Footage`コマンド自体(素材再リンクUI)	未確認	見つからない素材を検索	shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A05	-	新規Document起動時の既定comp作成(`default_document`)	黙って握りつぶす		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A06	-	playhead位置(Session.playhead)	Document に入れるべきでない(User Settings 行き)		ui/motolii-shell-state/src/lib.rs
core/motolii-store/src/persist.rs	A06	-	選択レイヤー(Session.selection/selected_layers)	Document に入れるべきでない(User Settings 行き)		ui/motolii-shell-state/src/lib.rs
core/motolii-store/src/persist.rs	A06	-	Timelineキー選択(selected_keys)・Shift範囲基点(key_anchor)・行の折り畳み(timeline_fold)	Document に入れるべきでない(User Settings 行き)		ui/motolii-shell-state/src/lib.rs
core/motolii-store/src/persist.rs	A06	1517	名前付きワークスペース(WorkspaceBook、"New Workspace…"機能)	戻らない	新規ワークスペース	shell/motolii-shell/src/lib.rs;ui/motolii-shell-state/src/layout.rs
core/motolii-store/src/persist.rs	A07	-	新規project/起動直後は必ず既定compを持つ設計(「真の空(comp無し)」は起動直後にしか理論上存在しない)	正直に空と映る		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A08	-	選択の正本(Session)	一括が無意味		shell/motolii-shell/src/lib.rs;ui/motolii-shell-state/src/lib.rs
core/motolii-store/src/persist.rs	A08	-	Inspector 値ドラッグ/type入力(`SetTrack`経由の全プロパティ編集)	単数のみ		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A08	805	Browser effects タブ「Glow を適用」(`apply_effect_to_selected_layer`)	単数のみ	選択レイヤーにエフェクトを追加	shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A08	773	Browser effects タブ「Mask を追加」(`add_mask_to_selected_layer`)	単数のみ	新規マスク	shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A08	429	Layer Copy(`copy_layer`)	単数のみ	コピー	shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A08	432	Layer Cut(`cut_layer`)	単数のみ	切り取り	shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A08	430	Layer Paste(`paste_layer`)	単数のみ	貼り付け	shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A08	-	ラベル色巡回(`CycleLabelColor`)	単数のみ		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A08	616	Browser「素材を置換」(`ReplaceSelectedLayerSource`→`Intent::SetSource`)	一括が無意味	選択素材を置換	shell/motolii-shell/src/lib.rs;ui/motolii-browser-pane/src/state.rs
core/motolii-store/src/persist.rs	A08	-	テキスト justify巡回/line-height reset/tracking reset(`cycle_text_justify` 等)	単数のみ		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A08	-	Inspector matte 解除(`clear_inspector_matte`)	単数のみ		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A10	1490	Zoom to 100%(メニュー/呼び手)	触れそうだが機能しない(Q0違反)	100%表示	shell/motolii-shell/src/lib.rs
