# 意図束(IB 44束、裁定177準拠)の機械可読正本。束名は仮名(命名は利用者の直観が最上流 — 変えない)。
# 正本ソース: docs/reviews/2026-08-22-intent-bundles-draft.md / 動線図: docs/reviews/2026-08-22-intent-flow-map.md
id	name	signature	home	size	note
B01	ブレンドモード束	set_blend_mode(mode)	Inspector blendタブ	33	L8基盤: blend束(BL3/BL4)そのもの
B02	マスク/マット束	mask_op(mode|feather|expansion|shape) + generate_matte_from(source:text|photo)	Inspector maskセクション+キャンバスハンドル	55	L8基盤: MK1/MK2(裁定108/133)既払い; 統合(§4): Auto-trace(misc)・AI背景除去(tool)を合流 — コンテンツからマット/パスを生成する同型
B03	ラベル色束	set_label_color(color)	クリップ右クリック/Inspector	19	L8基盤: ρ(label_color index)既決
B04	字幕束	caption_op(add|nav|generate)	専用Captionパネル	13	
B05	色/アルファ表示束	set_channel_display(mode) + color_correct(op)	Inspector color+Viewerオーバーレイ	30	
B06	ヘルプ/診断束	open_help(target)	メニューバー Help	19	
B07	プリセット束(MA L4例示)	preset_op(action:apply|save|browse|recent)	Inspector上部/専用Presetブラウザ	5	L8基盤: Intent背骨の薄い顔(§7 MA); MA L4吸収: preset 5クラスタ(Intent背骨の薄い顔、§7 MA)
B08	素材取り込み束	import_media(source, interpret?)	Browserパネルdrop/File>Import	54	統合(§4): clip_editのreplace系(Subclip/Replace footage等)を合流 — 素材差し替えは輸入と同じ対象操作(replace顔)
B09	書き出し束	export(target, format)	専用Exportダイアログ/Render Queue	16	
B10	プロジェクト整理束	housekeep(op:collect|consolidate|reduce|find_missing)	Project Managerダイアログ	18	
B11	File束(MB-1延長)	file_op(new|open|save|save_as|save_copy|quit|revert)	メニューバー File	15	L8基盤: File束(MB-1)そのもの
B12	環境設定束	open_settings(tab)	専用Preferencesウィンドウ	59	
B13	キャッシュ/メモリ管理束(継ぎ目)	cache_op(clear|configure)	未定(実測待ち)	18	L8基盤: SS台帳項目1(ゼロコピー)と衝突未解決
B14	エクスプレッション束(保留)	bind_expression(property, source)	未定	6	L8基盤: D5未完(型付きlink)
B15	キーフレーム束	keyframe_op(add|delete|move|interp) + apply_ease(scope,side)	Timelineキーフレームレーン+Graph Editor	47	L8基盤: Intentの薄い顔(store実装済); MA L4吸収: ease 6クラスタ
B16	解析→自動キーフレーム束(新規発見)	analyze_and_generate(target:reframe|track|stabilize|scene_cut)	専用Analysis/Trackerパネル	10	L8基盤: Bake/Analysis provider経路(共通); 統合(§4): 7カテゴリ合流(ai_feature/effects_animation/panel_window/workspace/misc/timeline/mask) — 既存映像を解析→keyframe/transform/matteを生成する同一機構(Bake/Analysisプロバイダ経路)
B17	カメラ/3Dビュー束	set_view(preset) + camera_op	Viewer視点タブ	33	L8基盤: カメラ束(裁定116)既払い。gizmo(141-144)は継ぎ目注記
B18	作業範囲/イン・アウト点束(裁定177 headline例)	set_work_area{in?,out?} / clear_work_area{in?,out?} / goto_work_area_bound(edge)	Timeline帯+shortcut	35	統合(§4): 8カテゴリ合流(marker/clip_edit/layer_transform/misc/edit_basic/audio/playback) — 同一の作業範囲/イン・アウト点オブジェクトへの操作。MA L4 work_area 7行を吸収
B19	マーカー/フラグ束	marker_op(add|clear|nav|flag)	Timelineマーカーレーン+Markersパネル	20	L8基盤: 裁定111/120/149既払い
B20	再生ヘッド移動束	goto(target:time|edit|clip_bound|comp_bound)	Timeline transport	28	
B21	再生/スクラブ束	transport(op:play|step|shuttle|loop, scope?:audio|video|work_area)	Timeline transport bar	56	L8基盤: A2(実時間再生、検収合格)既払い; 統合(§4): 3カテゴリ合流(playback/audio/misc) — transport語彙のスコープ限定版
B22	ガイド/グリッド表示束	toggle_overlay(kind:grid|guide|safe_zone|snap)	Viewerオーバーレイ設定	24	
B23	プレビュー解像度/画質束	set_preview_quality(resolution|mode)	Viewer下部画質メニュー	28	L8基盤: 裁定21実測(844-846は帯域律速で無効)と一部矛盾
