# Lottie の全語彙と、Motolii がそれをどう扱うかの地図。
# lottie.schema.json(上流そのまま)から機械生成した骨に、判断を書き込む。
# 状態: 採用済 / 採用予定 / 不採用 / 未判定 / 該当なし
# 採用済 の行は evidence 列に**コード中に実在する識別子**を持つ。試験が grep して確かめるので自己申告にならない。
# 採用予定 の行は unit 列に**発注単位**を持つ。束は地図の見え方の1つで、別の台帳を作らない。
# source 列: どの上流スキーマ由来か。lottie = Lottie 公式スキーマ、rive = rive-runtime の dev/defs。
# スキーマとの機械照合(the_map_covers_the_whole_schema)は source=lottie の行だけを見る。
# 試験 lottie_coverage.rs が「スキーマにあって表に無い」「表にあってスキーマに無い」を落とす。
group	object	field	title	status	note	evidence	unit	source
assets	all-assets	@extends	assets/precomposition	該当なし	継承元			lottie
assets	all-assets	@extends	assets/image	該当なし	継承元			lottie
assets	all-assets	@extends	assets/data-source	該当なし	継承元			lottie
assets	all-assets	@extends	assets/sound	該当なし	継承元			lottie
assets	asset	@extends	helpers/visual-object	該当なし	継承元			lottie
assets	asset	id	ID	不採用	素材は layer が直に持つ(LayerSource::Media の path + fingerprint)。表+refId の間接参照は1枚 JSON を自己完結させる配信フォーマットの都合で、編集器では layer/表の二重帳簿になる			lottie
assets	data-source	@extends	assets/file-asset	該当なし	継承元			lottie
assets	data-source	t	Type	不採用	外部 JSON でデータ駆動する再生フォーマットの機能。外から値を注ぐ口は型付き link で持つ			lottie
assets	file-asset	@extends	assets/asset	該当なし	継承元			lottie
assets	file-asset	e	Embedded	不採用	素材の base64 埋め込み。1枚で配るための物。Motolii は FFmpeg でファイルを読み project file に素材を抱えない			lottie
assets	file-asset	p	File Name	採用済	LayerSource::Media.path。ただし asset 表の中ではなく layer が直に持つ	LayerSource::Media		lottie
assets	file-asset	u	File Path	不採用	パスは1本で持つ。名前とディレクトリに割ると片方だけ書き換えた「開けないパス」が作れる			lottie
assets	image	@extends	assets/file-asset	該当なし	継承元			lottie
assets	image	@extends	helpers/slottable-object	該当なし	継承元			lottie
assets	image	h	Height	不採用	素材の寸法は Document が持たない。probe が決め engine が実寸で埋める(裁定29)			lottie
assets	image	t	Type	不採用	連番静止画を真偽値で表す形は採らない。要る日に LayerSource の variant として足す(裁定19)			lottie
assets	image	w	Width	不採用	h と同じ。寸法は probe の担当(裁定29)			lottie
assets	precomposition	@extends	assets/asset	該当なし	継承元			lottie
assets	precomposition	@extends	composition/composition	該当なし	継承元			lottie
assets	precomposition	fr	Framerate	不採用	プリコンポは設計上の除外(GOALS)。comp ごとに fps を持つと時刻の正本が増える			lottie
assets	precomposition	xt	Extra	不採用	同上。「どこからも参照されない comp」は不正状態の温床			lottie
assets	sound	@extends	assets/file-asset	該当なし	継承元			lottie
composition	animation	@extends	helpers/visual-object	該当なし	継承元			lottie
composition	animation	@extends	composition/composition	該当なし	継承元			lottie
composition	animation	assets	Assets	不採用	project 素材表。表を建てない。素材の同一性は fingerprint(内容識別)が持つ			lottie
composition	animation	chars	Characters	不採用	グリフを図形に焼いた表。フォントを持たない再生環境のための物			lottie
composition	animation	comps	Extra Compositions	不採用	参照されないプリコンポの置き場。プリコンポ自体が除外(GOALS)			lottie
composition	animation	ddd	Threedimensional	不採用	3D			lottie
composition	animation	fonts	Fonts	不採用	document にフォント表を建てない。指定はテキストレイヤが直に持つ			lottie
composition	animation	fr	Framerate	採用済	Composition.fps。**有理数で持つ**(Lottie の f64 は 30000/1001 を表せない。裁定64)	pub fps: motolii_core::Fps		lottie
composition	animation	h	Height	採用済	Composition.height	pub height: u32		lottie
composition	animation	ip	In Point	不採用	作業領域は view の関心であって document の関心ではない(裁定64)			lottie
composition	animation	markers	Markers	採用済	ロケータに写る。marker 束が実装済み(裁定111) — component・読み書き・永続化まで完了しており、layer-meta 束は状態と evidence の書き換えだけ	Intent::SetMarkers	layer-meta	lottie
composition	animation	mb	Motion Blur	不採用	モーションブラーは合成器側の関心で document には持たない			lottie
composition	animation	meta	Metadata	不採用	配信物メタ(作者・説明・生成器)。編集の意味ではない			lottie
composition	animation	metadata	User Metadata	不採用	同上(利用者メタ)			lottie
composition	animation	op	Out Point	採用済	Composition.duration_frames	pub duration_frames: i64		lottie
composition	animation	slots	Slots	採用予定	Vism(型付き input を持つ再利用単位)の先例になりうる		slot	lottie
composition	animation	v	Bodymovin version, on very old versions some things might be slightly different from what is explained here	不採用	書き出した器具のバージョン。保存形式は上流の .rrd(裁定55)で版は store 側が持つ			lottie
composition	animation	ver	Specification Version	不採用	仕様版。document に持つと .rrd の版と2つになる			lottie
